Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
134;21100812608;"8th Power Electronics, Drive Systems and Technologies Conference, PEDSTC 2017";conference and proceedings;"-";0,333;-;6;0;95;0;95;94;1,01;0,00;United States;Northern America;"";"";"Engineering (miscellaneous); Information Systems and Management; Management of Technology and Innovation; Management Science and Operations Research; Medicine (miscellaneous)"
135;21100450083;"EasternEuropean Journal of Enterprise Technologies";journal;"17293774, 17294061";0,325;Q3;21;466;1618;11247;1663;1618;1,09;24,14;United Arab Emirates;Middle East;"PC Technology Center";"2013-2020";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Energy Engineering and Power Technology (Q3); Management of Technology and Innovation (Q3); Mechanical Engineering (Q3)"
136;21385;"Canadian Journal of Administrative Sciences";journal;"19364490, 08250383";0,324;Q3;46;59;115;3909;148;103;1,27;66,25;United States;Northern America;"Wiley-Blackwell";"1984-1990, 1996-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q3); Marketing (Q3); Public Administration (Q3)"
137;23656;"Systemic Practice and Action Research";journal;"1094429X, 15739295";0,305;Q3;32;51;96;2873;108;94;1,29;56,33;United States;Northern America;"Springer New York";"1996-2020";"Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
138;21100836589;"International Journal of Business Environment";journal;"17400589, 17400597";0,302;Q3;5;10;29;693;38;29;1,31;69,30;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2017-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)"
139;21100850750;"European Journal of Futures Research";journal;"21952248, 21954194";0,298;Q3;4;7;41;534;48;41;1,17;76,29;Germany;Western Europe;"Springer Verlag";"2017-2020";"Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Management of Technology and Innovation (Q3); Tourism, Leisure and Hospitality Management (Q3)"
140;21100421900;"Information and Computer Security";journal;"20564961";0,293;Q3;46;48;102;2602;169;99;1,51;54,21;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2020";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Information Systems (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3); Software (Q3)"
141;11200153572;"International Journal of Business Innovation and Research";journal;"17510252, 17510260";0,290;Q3;19;79;297;5751;270;296;0,83;72,80;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2008-2020";"Business and International Management (Q3); Management of Technology and Innovation (Q3)"
142;19600156834;"Icon";journal;"13618113";0,289;Q3;3;17;8;642;2;5;0,00;37,76;United Kingdom;Western Europe;"F. Cass";"2001, 2013-2016, 2019";"History and Philosophy of Science (Q2); Management of Technology and Innovation (Q3)"
143;21100901140;"Journal of Innovation and Entrepreneurship";journal;"21925372";0,289;Q3;10;6;35;293;71;33;2,15;48,83;Germany;Western Europe;"Springer Open";"2014-2015, 2017-2020";"Sociology and Political Science (Q2); Economics and Econometrics (Q3); Information Systems (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)"
144;4000148902;"International Journal of Services and Operations Management";journal;"17442370, 17442389";0,287;Q3;26;78;235;4355;211;235;0,73;55,83;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2006-2020";"Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3)"
145;19400157135;"International Journal of Knowledge Management Studies";journal;"17438276, 17438268";0,286;Q3;12;24;66;1059;74;65;1,21;44,13;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2009-2012, 2014-2020";"Computer Science Applications (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)"
146;21100463852;"Proceedings - 7th International Workshop on Empirical Software Engineering in Practice, IWESEP 2016";conference and proceedings;"-";0,284;-;3;0;13;0;12;11;0,00;0,00;Japan;Asiatic Region;"";"";"Management of Technology and Innovation"
147;21100197182;"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE";conference and proceedings;"1942647X";0,282;-;21;147;292;3124;412;285;1,35;21,25;United States;Northern America;"";"1942647X";"Education; Management of Technology and Innovation"
148;16106;"Foresight";journal;"14659832, 14636689";0,282;Q3;27;48;114;2914;154;110;1,29;60,71;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2020";"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3)"
