Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
61;21100775634;"IZA Journal of Labor Economics";journal;"21938997";0,778;Q2;12;4;30;144;33;30;1,35;36,00;United Kingdom;Western Europe;"Springer Open";"2012-2019";"Industrial Relations (Q1); Economics and Econometrics (Q2); Organizational Behavior and Human Resource Management (Q2)"
62;22328;"Organizational Dynamics";journal;"00902616";0,771;Q2;58;70;95;0;192;89;1,48;0,00;United Kingdom;Western Europe;"Elsevier BV";"1972-1995, 1997-2020";"Sociology and Political Science (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)"
63;21100466201;"Journal for Labour Market Research";journal;"18678343, 16143485";0,769;Q2;15;15;47;738;79;44;1,38;49,20;Switzerland;Western Europe;"Springer International Publishing AG";"2009-2020";"Industrial Relations (Q1); Economics and Econometrics (Q2); Organizational Behavior and Human Resource Management (Q2)"
64;144637;"Tertiary Education and Management";journal;"13583883";0,755;Q2;31;37;78;1725;148;74;1,80;46,62;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q2)"
65;17200154705;"European Journal of International Management";journal;"17516757, 17516765";0,753;Q2;22;41;103;2872;305;99;3,38;70,05;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2009-2020";"Business and International Management (Q1); Education (Q1); Organizational Behavior and Human Resource Management (Q2)"
66;21100817620;"Career Development and Transition for Exceptional Individuals";journal;"21651442, 21651434";0,739;Q2;9;33;87;1012;116;74;1,22;30,67;United States;Northern America;"SAGE Publications Inc.";"2015-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q2)"
67;100147337;"Journal of Education and Work";journal;"13639080, 14699435";0,731;Q2;32;45;153;2186;265;150;1,35;48,58;United Kingdom;Western Europe;"Brill Academic Publishers";"2005-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q2); Public Administration (Q2)"
68;19400158573;"Journal of Pension Economics and Finance";journal;"14747472, 14753022";0,719;Q2;26;51;68;1545;105;61;1,72;30,29;United Kingdom;Western Europe;"Cambridge University Press";"2002-2020";"Economics and Econometrics (Q2); Finance (Q2); Organizational Behavior and Human Resource Management (Q2)"
69;144738;"Employee Relations";journal;"01425455";0,718;Q2;48;97;183;7121;547;179;2,12;73,41;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1979-2020";"Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q2)"
70;14788;"Human Performance";journal;"08959285, 15327043";0,684;Q2;69;13;56;1063;100;54;1,55;81,77;United States;Northern America;"Taylor and Francis Ltd.";"1988-2020";"Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2); Psychology (miscellaneous) (Q2)"
71;21100778661;"European Journal of Management and Business Economics";journal;"24448451";0,639;Q2;11;18;58;1478;172;56;3,27;82,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2020";"Business and International Management (Q1); Finance (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2); Tourism, Leisure and Hospitality Management (Q2)"
72;144962;"Corporate Communications";journal;"13563289";0,627;Q2;52;51;105;3307;212;103;1,68;64,84;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2020";"Industrial Relations (Q2); Organizational Behavior and Human Resource Management (Q2)"
